codelist_name,urn,notation,label,description
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J62_63,N/A,N/A,"Computer programming, consultancy, and information service activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J63,N/A,N/A,Information service activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).K,N/A,N/A,Financial and insurance activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).K_L,N/A,N/A,Financial and real estate services
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).K64,N/A,N/A,"Financial service activities, except insurance and pension funding"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).K641,N/A,N/A,Monetary intermediation
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).K642,N/A,N/A,Activities of holding companies
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).K643,N/A,N/A,"Trusts, funds, and similar financial activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).K65,N/A,N/A,"Insurance, reinsurance and pension funding, except compulsory social security"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).K66,N/A,N/A,Activities auxiliary to financial services and insurance activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).KTN,N/A,N/A,"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).L,N/A,N/A,Real estate activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).L68A,N/A,N/A,Imputed rents of owner-occupied dwellings
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).L68B,N/A,N/A,Real estate activities excluding imputed rents
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M,N/A,N/A,"Professional, scientific and technical activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M_N,N/A,N/A,"Professional, scientific and technical activities; administrative and support service activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M69,N/A,N/A,Legal and accounting activities
